,,,,Block59 Load Sequence(N),,,,Block52 Load Sequence(N),,,,Block11 Load Sequence(N),,,Block3,,,Block6 Load Sequence(N),,,Block21 Load Sequence(N),,,,Block7 Load Sequence(N),,,,Pothole_Left Load Sequence(N),,,,Pothole_Right Load Sequence(N),,,,Block4 Load Sequence(N),,,
Index,Node N.,Channels,Direction,GVW,Peak1,Peak2,GVW,GVW,Peak1,Peak2,GVW,GVW,Peak1,GVW,GVW,Peak1,GVW,GVW,Peak1,GVW,GVW,Peak1,Peak2,GVW,GVW,Peak1,Peak2,GVW,GVW,Peak1,Peak2,GVW,GVW,Peak1,Peak2,GVW,GVW,Peak1,Peak2,GVW
1,4,L Camber Link,Y,-4500,11112,-1500,-4500,-4500,123123,-8300,-4500,-4500,12121,-4500,-4500,-14000,-4500,-4500,-233333,-4500,-4500,-7700,-420,-4500,-4500,-8500,-850,-4500,-4500,11900,-28500,-4500,-4500,0,0,-4500,-4500,12300,-7600,-4500
2,104,R Camber Link,Y,-4500,-7700,-1500,-4500,-4500,1100,-8300,-4500,-4500,3100,-4500,-4500,-14000,-4500,-4500,-9300,-4500,-4500,-7700,-420,-4500,-4500,-850,-8500,-4500,-4500,0,0,-4500,-4500,-27700,11900,-4500,-4500,-7600,12300,-4500
3,3,L Toe Link,Y,2100,8500,-1300,2100,2100,930,3100,2100,2100,-1000,2100,2100,7000,2100,2100,4700,2100,2100,10000,-2400,2100,2100,4300,280,2100,2100,-18000,-7000,2100,2100,0,0,2100,2100,4200,-3300,2100
4,103,R Toe Link,Y,2100,8500,-1300,2100,2100,930,3100,2100,2100,-1000,2100,2100,7000,2100,2100,4700,2100,2100,10000,-2400,2100,2100,280,4300,2100,2100,0,0,2100,2100,-6630,18400,2100,2100,-3300,4200,2100
